numberOfFunction,slocP,program_length,gender,blankLine,loc,program_vocabulary,comments,continent,memory,cyclomatic_complexity,volume,effort,calculated_estimated_program_length,difficulty,time,lsloc
1,58,352,male,0,99,57,41,Western,200 KB,11,2053.177285,39010.36841,281.1893366,19,31 ms,58
2,74,715,male,0,115,98,41,Western,100 KB,13,4729.517539,189180.7015,552.6400215,40,31 ms,74
2,111,531,male,0,120,58,9,Western,2600 KB,32,3110.587908,111981.1647,284.2247957,36,31 ms,111
1,72,542,male,0,102,50,30,Western,100 KB,31,3058.970055,244717.6044,235.9518742,80,31 ms,72
2,115,430,male,0,122,41,7,Western,0 KB,37,2303.747362,41467.45252,197.7269405,18,31 ms,115
1,90,382,male,0,101,45,11,Western,0 KB,18,2097.887883,37761.98189,214.6466251,18,31 ms,90
1,128,577,male,0,135,47,7,Western,0 KB,27,3204.997767,54484.96205,221.0794529,17,31 ms,128
3,131,610,male,0,144,46,13,Western,100 KB,24,3369.372793,53909.96469,214.5707223,16,31 ms,131
1,95,521,male,0,100,50,5,Western,100 KB,23,2940.449075,47047.1852,235.9518742,16,31 ms,95
4,99,702,male,1,155,82,56,Western,2000 KB,12,4463.001507,178520.0603,439.3192644,40,46 ms,98
1,123,552,female,0,132,49,9,Western,100 KB,21,3099.319834,158065.3115,232.8278745,51,31 ms,123
1,58,661,male,0,102,89,44,Western,3900 KB,21,4280.459798,196901.1507,487.4132344,46,46 ms,58
4,88,655,male,33,145,90,57,Western,12400 KB,30,4252.163778,280642.8094,494.2667787,66,46 ms,55
2,71,541,male,0,103,71,32,Western,100 KB,18,3327.013192,66540.26383,366.8663501,20,31 ms,71
13,79,666,male,1,129,79,50,Western,200 KB,32,4198.317978,100759.6315,421.6582857,24,31 ms,78
4,60,569,male,0,114,72,54,Western,200 KB,18,3510.687326,147448.8677,374.2108333,42,46 ms,60
1,132,0,male,0,165,0,33,Western,3600 KB,16,0,0,0,0,31 ms,132
2,115,474,male,0,127,40,12,Western,200 KB,23,2522.593917,40361.50267,186.1164904,16,46 ms,115
1,107,912,male,15,145,92,38,Western,100 KB,26,5949.488504,356969.3102,508.9533246,60,31 ms,92
3,140,736,male,1,157,53,17,Western,0 KB,24,4215.749455,143335.4815,253.6843594,34,31 ms,139
7,64,975,male,0,80,117,16,Western,100 KB,30,6698.605602,643066.1378,689.0682556,96,31 ms,64
5,93,638,male,2,125,75,32,Western,200 KB,26,3973.986325,182803.3709,394.9652988,46,31 ms,91
1,87,862,male,0,125,111,38,Western,100 KB,26,5856.786477,245985.032,647.9655193,42,31 ms,87
1,115,526,male,0,156,58,41,Western,300 KB,22,3081.298003,58544.66207,285.8598074,19,31 ms,115
1,94,545,male,0,97,48,3,Western,200 KB,23,3043.804563,57832.28669,232.6405265,19,31 ms,94
4,131,748,male,2,189,73,58,Western,100 KB,33,4629.98877,222239.461,384.1746048,48,31 ms,129
1,99,771,male,0,123,68,24,Western,200 KB,39,4693.433851,93868.67701,348.0415947,20,31 ms,99
7,84,968,male,13,153,88,69,Western,1400 KB,31,6252.729807,275120.1115,480.4627738,44,31 ms,71
1,100,618,male,0,142,76,42,Western,100 KB,20,3861.219203,77224.38407,398.9944238,20,31 ms,100
1,100,612,male,0,106,50,6,Western,100 KB,22,3454.039988,207242.3993,234.2907084,60,31 ms,100
1,140,885,male,0,178,44,38,Western,200 KB,31,4831.596982,91800.34267,214.9310205,19,31 ms,140
3,106,672,male,17,161,62,55,Western,200 KB,29,4001.219921,240073.1952,310.9846194,60,31 ms,89
8,109,746,female,0,145,82,36,Western,200 KB,27,4742.733795,398389.6388,439.3544556,84,31 ms,109
12,62,933,male,0,150,106,88,Western,100 KB,28,6277.149784,288748.8901,608.4972857,46,30 ms,62
4,140,360,male,0,200,67,60,Western,100 KB,35,2183.792109,39308.25795,339.9564924,18,31 ms,140
1,88,778,male,5,122,78,34,Western,200 KB,20,4890.042926,293402.5756,412.4094067,60,31 ms,83
32,83,1296,female,0,101,103,18,Western,100 KB,48,8665.704683,1213198.656,589.445759,140,31 ms,83
1,157,589,male,0,163,61,6,Western,100 KB,35,3493.204292,132741.7631,304.2381821,38,31 ms,157
3,142,763,male,9,196,74,54,Western,200 KB,24,4737.812918,170561.265,385.4995491,36,31 ms,133
2,149,573,male,0,173,35,24,Western,200 KB,22,2939.079169,47025.2667,168.4650059,16,31 ms,149
1,129,556,female,0,136,54,7,Western,100 KB,33,3199.717451,217580.7867,259.4122985,68,31 ms,129
5,101,592,female,0,148,89,47,Western,100 KB,27,3833.634191,145678.0993,488.714938,38,31 ms,101
1,110,722,male,0,143,60,33,Western,300 KB,37,4264.77501,81030.72519,297.5287411,19,30 ms,110
2,232,700,male,0,278,47,46,Western,100 KB,30,3888.212196,73876.03173,230.1306865,19,46 ms,232
17,59,1139,male,0,118,141,59,Western,2900 KB,24,8131.94899,374069.6536,878.2201328,46,31 ms,59
14,129,843,male,4,260,97,131,Western,200 KB,30,5563.726526,139093.1631,543.2584855,25,31 ms,125
4,133,731,male,3,203,70,70,Western,100 KB,23,4480.505885,268830.3531,360.0838417,60,31 ms,130
7,164,952,male,7,222,78,58,Western,200 KB,38,5983.702912,430826.6097,416.0022312,72,31 ms,157
1,165,689,male,0,180,62,15,Western,200 KB,37,4102.441258,155892.7678,310.1726115,38,31 ms,165
19,158,1035,male,8,250,99,92,Western,69000 KB,50,6861.384102,343069.2051,557.3135919,50,62 ms,150
3,183,605,male,77,266,46,83,Western,0 KB,38,3341.754983,187138.2791,210.3683172,56,31 ms,106
1,375,809,male,0,391,56,16,Western,100 KB,43,4698.150132,150340.8042,270.5069309,32,31 ms,375
30,204,1590,male,0,304,137,100,Western,100 KB,61,11285.87101,812582.7129,843.5507648,72,31 ms,204
85,129,3802,male,0,176,298,47,Western,18600 KB,161,31249.27871,2906182.92,2227.550118,93,46 ms,129
63,528,2310,male,0,621,153,93,Western,300 KB,129,16764.56592,972344.8232,963.207292,58,46 ms,528
5,34,468,male,0,44,68,10,Western,13500 KB,15,2848.93261,162389.1588,347.0121354,57,546 ms,34
4,35,496,male,0,40,81,5,Eastern,16100 KB,21,3144.565601,106915.2304,433.6087556,34,404 ms,35
5,37,581,male,0,44,94,7,Western,14600 KB,18,3808.216123,217068.319,524.6331211,57,452 ms,37
4,55,472,male,0,62,68,7,Eastern,15000 KB,19,2873.282461,155157.2529,346.1173001,54,389 ms,55
4,55,472,male,0,63,68,8,Eastern,15000 KB,19,2873.282461,155157.2529,346.1173001,54,343 ms,55
5,43,525,male,0,48,90,5,Eastern,21000 KB,25,3408.222876,204493.3725,494.7804146,60,686 ms,43
5,65,461,female,0,70,69,5,Eastern,14500 KB,23,2816.029775,101377.0719,352.7497745,36,327 ms,65
5,59,462,male,0,64,70,5,Western,13500 KB,21,2831.728754,152913.3527,359.2147805,54,1778 ms,59
5,53,489,female,0,60,73,7,Eastern,92400 KB,21,3026.824209,163448.5073,378.8670746,54,576 ms,53
5,54,492,female,0,61,73,7,Eastern,92400 KB,21,3045.393683,164451.2589,378.8670746,54,623 ms,54
6,59,541,male,0,66,82,7,Eastern,13300 KB,22,3439.435634,185729.5243,440.20115,54,327 ms,59
6,0,650,male,0,41,102,41,Eastern,39500 KB,0,4337.076472,247213.3589,582.6993217,57,421 ms,0
5,52,538,female,0,55,81,3,Eastern,12500 KB,23,3410.839302,122790.2149,432.9647657,36,390 ms,52
5,50,411,male,0,56,64,6,Eastern,17800 KB,20,2466,88776,320.7232379,36,467 ms,50
4,59,460,male,0,65,72,6,Eastern,17600 KB,21,2838.165501,102173.958,372.2746801,36,1107 ms,59
4,73,494,male,0,79,71,6,Eastern,17600 KB,23,3037.975077,103291.1526,365.6422056,34,499 ms,73
4,49,523,male,0,61,73,12,Eastern,15600 KB,23,3237.278244,174813.0252,378.8670746,54,436 ms,49
5,42,488,male,0,53,82,11,Eastern,11900 KB,16,3102.485378,223378.9472,440.20115,72,202 ms,42
3,40,402,female,0,49,74,9,Eastern,15800 KB,17,2496.200253,94855.60961,385.6555921,38,421 ms,40
3,40,402,female,0,50,74,10,Eastern,15800 KB,17,2496.200253,94855.60961,385.6555921,38,452 ms,40
5,51,579,male,0,55,78,4,Eastern,13300 KB,23,3639.247885,196519.3858,412.5946318,54,312 ms,51
5,69,502,female,0,77,72,8,Eastern,22300 KB,23,3097.302351,167254.3269,372.2746801,54,498 ms,69
7,69,507,male,0,74,65,5,Eastern,10500 KB,22,3053.340481,109920.2573,326.9987489,36,280 ms,69
4,46,515,male,3,60,77,14,Eastern,14500 KB,21,3227.395068,116186.2225,405.6268983,36,530 ms,43
4,57,506,male,0,61,60,4,Eastern,26200 KB,22,2988.886641,101622.1458,295.6213103,34,452 ms,57
5,51,465,male,0,69,79,18,Eastern,15800 KB,21,2931.258048,175875.4829,419.0808777,60,1232 ms,51
6,67,528,female,0,76,72,9,Eastern,20100 KB,20,3257.720401,166143.7404,372.2746801,51,405 ms,67
6,0,536,male,0,65,87,65,Eastern,56000 KB,0,3453.417714,207205.0628,473.7434822,60,1154 ms,0
4,46,471,male,0,56,74,10,Eastern,25000 KB,22,2924.652535,105287.4913,385.4995491,36,732 ms,46
4,55,508,male,0,69,82,14,Eastern,15800 KB,19,3229.636418,193778.1851,439.3192644,60,498 ms,55
5,76,470,male,0,91,74,15,Eastern,20500 KB,21,2918.443082,166351.2557,385.6555921,57,842 ms,76
4,49,490,male,0,57,78,8,Eastern,14900 KB,24,3079.847087,117034.1893,412.2613731,38,1216 ms,49
3,53,497,male,0,67,84,14,Western,17000 KB,23,3176.981759,127079.2704,452.9890166,40,1762 ms,53
6,33,635,male,0,50,103,17,Eastern,16000 KB,24,4245.927835,267493.4536,588.2523093,63,311 ms,33
4,49,541,male,0,61,80,12,Eastern,19900 KB,21,3420.163099,194949.2967,425.7903187,57,374 ms,49
5,73,442,male,0,85,82,12,Eastern,30000 KB,19,2810.037986,106781.4435,439.6362367,38,1606 ms,73
5,73,442,male,0,85,82,12,Eastern,32000 KB,19,2810.037986,106781.4435,439.6362367,38,1590 ms,73
5,59,462,male,0,64,70,5,Eastern,13500 KB,21,2831.728754,152913.3527,359.2147805,54,1716 ms,59
5,42,495,male,0,56,89,14,Eastern,15900 KB,23,3205.488048,134630.498,487.4132344,42,374 ms,42
5,36,616,male,0,41,97,5,Eastern,15600 KB,23,4065.546311,154490.7598,545.8935843,38,421 ms,36
5,74,526,female,0,79,80,5,Eastern,13700 KB,22,3325.334178,119712.0304,426.079159,36,421 ms,74
5,73,445,male,0,86,82,13,Eastern,32000 KB,19,2829.110642,107506.2044,439.6362367,38,1699 ms,73
5,57,496,male,0,64,75,7,Eastern,19900 KB,21,3089.49407,166832.6798,392.17102,54,249 ms,57
5,0,639,male,0,56,98,56,Eastern,11400 KB,0,4226.79959,240927.5767,553.2066264,57,265 ms,0
5,0,615,male,0,55,84,55,Eastern,9800 KB,0,3931.275215,149388.4582,453.5050955,38,311 ms,0
1,7,528,male,0,66,81,59,Eastern,13300 KB,4,3347.440802,220931.0929,433.2506894,66,265 ms,7
2,10,508,male,0,59,86,49,Eastern,15600 KB,5,3264.542495,124052.6148,467.4994455,38,1496 ms,10
5,43,550,male,0,56,95,13,Eastern,15800 KB,23,3613.420585,205964.9733,531.3425622,57,342 ms,43
5,47,467,male,1,60,80,13,Eastern,18300 KB,22,2952.34042,168283.404,425.7903187,57,436 ms,46
5,79,540,male,1,99,76,20,Western,18900 KB,25,3373.880857,128207.4726,398.8804611,38,1294 ms,78
6,61,556,male,0,66,83,5,Eastern,16200 KB,26,3544.521924,191404.1839,446.8336245,54,545 ms,61
5,70,559,male,2,90,81,20,Eastern,14500 KB,22,3543.976152,127583.1415,433.2506894,36,421 ms,68
4,46,506,male,0,60,70,14,Eastern,34600 KB,22,3101.417207,158172.2775,359.0910367,51,451 ms,46
6,76,470,male,2,86,63,10,Eastern,19300 KB,24,2809.321564,106754.2194,315.5176503,38,436 ms,74
5,70,562,male,0,78,82,8,Eastern,24000 KB,25,3572.944227,203657.8209,439.6362367,57,1559 ms,70
2,10,512,male,0,60,87,50,Eastern,15600 KB,5,3298.78707,125353.9087,474.2088866,38,764 ms,10
4,50,525,male,1,71,69,21,Eastern,19400 KB,20,3206.97534,173176.6683,352.582306,54,327 ms,49
5,51,490,female,0,58,72,7,Eastern,139300 KB,20,3023.263251,163256.2155,372.2746801,54,655 ms,51
5,45,579,male,0,63,90,18,Western,17200 KB,18,3758.782943,150351.3177,495.0699333,40,468 ms,45
4,56,504,male,0,61,76,5,Eastern,16200 KB,22,3148.955467,113362.3968,398.8804611,36,390 ms,56
5,75,454,male,0,87,83,12,Eastern,32000 KB,19,2894.267902,109982.1803,446.3456778,38,826 ms,75
6,40,535,male,0,51,71,11,Eastern,221700 KB,18,3290.114709,118444.1295,365.7235111,36,545 ms,40
4,61,549,male,0,70,84,9,Eastern,21400 KB,19,3509.382265,210562.9359,453.092115,60,373 ms,61
4,0,666,male,1,49,108,49,Eastern,13100 KB,0,4498.755076,242932.7741,630.3519002,54,373 ms,-1
5,60,581,female,0,72,79,12,Eastern,14200 KB,27,3662.496615,197774.8172,419.4466845,54,436 ms,60
4,49,415,female,0,58,78,9,Western,17200 KB,19,2608.441921,104337.6768,412.4094067,40,811 ms,49
5,75,457,male,0,88,83,13,Eastern,32000 KB,19,2913.39302,110708.9348,446.3456778,38,607 ms,75
5,54,470,female,0,60,79,6,Eastern,20500 KB,20,2962.776952,177766.6171,419.0808777,60,857 ms,54
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,514 ms,69
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,514 ms,69
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,436 ms,69
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,467 ms,69
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,467 ms,69
3,71,436,male,2,86,79,15,Eastern,18700 KB,17,2748.448406,104441.0394,419.0078103,38,421 ms,69
3,71,436,male,2,86,79,15,Eastern,18700 KB,17,2748.448406,104441.0394,419.0078103,38,420 ms,69
3,71,436,male,2,86,79,15,Eastern,15000 KB,17,2748.448406,104441.0394,419.0078103,38,436 ms,69
5,53,525,male,0,63,77,10,Eastern,34600 KB,21,3290.062934,250044.783,405.551932,76,577 ms,53
3,61,573,male,7,81,87,20,Eastern,16000 KB,23,3691.806623,132905.0384,475.4109925,36,358 ms,54
3,59,470,male,1,74,72,15,Eastern,15800 KB,21,2899.864751,110194.8605,372.5956925,38,1482 ms,58
3,71,436,male,2,88,79,17,Eastern,18700 KB,17,2748.448406,104441.0394,419.0078103,38,390 ms,69
4,55,588,male,5,67,78,12,Eastern,72900 KB,23,3695.816505,188486.6417,412.85429,51,483 ms,50
4,57,518,male,4,66,84,9,Eastern,27500 KB,24,3311.220425,198673.2255,452.9890166,60,686 ms,53
4,55,588,male,5,67,78,12,Eastern,74400 KB,23,3695.816505,188486.6417,412.85429,51,373 ms,50
4,49,511,male,0,63,81,14,Eastern,26600 KB,22,3239.663351,246214.4147,432.75063,76,826 ms,49
6,62,589,male,0,84,90,22,Eastern,18700 KB,22,3823.701474,229422.0884,495.0699333,60,1138 ms,62
6,49,555,male,0,60,73,11,Eastern,7000 KB,24,3435.35263,130543.3999,378.9461511,38,202 ms,49
4,54,700,male,0,81,78,27,Eastern,15800 KB,23,4399.781553,299185.1456,412.85429,68,811 ms,54
4,53,438,male,0,62,75,9,Eastern,15800 KB,19,2728.222586,103672.4583,392.2479866,38,1622 ms,53
3,54,512,male,0,66,80,12,Eastern,19300 KB,21,3236.827185,122999.433,425.8985773,38,1357 ms,54
5,58,440,male,0,67,70,9,Eastern,23500 KB,24,2696.884527,102481.612,359.4212455,38,1606 ms,58
5,0,559,male,0,96,79,96,Eastern,11800 KB,0,3523.813438,140952.5375,419.0078103,40,389 ms,0
6,63,488,male,0,76,84,13,Western,16600 KB,20,3119.450902,196525.4068,452.9546635,63,295 ms,63
5,61,510,male,0,78,84,17,Eastern,19300 KB,19,3260.081886,195604.9131,453.092115,60,358 ms,61
5,61,510,male,0,78,84,17,Eastern,19300 KB,19,3260.081886,195604.9131,453.092115,60,358 ms,61
4,61,506,male,0,74,71,13,Eastern,15700 KB,20,3111.772042,168035.6903,365.6422056,54,390 ms,61
4,0,660,male,0,60,95,60,Eastern,23500 KB,0,4336.104701,260166.2821,530.4235573,60,436 ms,0
6,53,544,male,0,67,76,14,Western,16600 KB,22,3398.872567,183539.1186,398.8804611,54,249 ms,53
1,9,560,male,0,77,88,68,Eastern,12900 KB,4,3617.281706,206185.0573,481.614055,57,1559 ms,9
9,55,0,male,0,74,0,19,Eastern,13100 KB,24,0,0,0,0,436 ms,55
6,53,556,male,0,67,76,14,Western,16600 KB,22,3473.847697,187587.7757,398.8804611,54,233 ms,53
3,72,482,male,0,89,74,17,Eastern,17400 KB,22,2992.956522,119718.2609,385.8508604,40,390 ms,72
4,63,542,female,0,76,78,13,Eastern,24200 KB,18,3406.688003,136267.5201,412.2983693,40,280 ms,63
4,0,666,male,1,49,108,49,Eastern,13300 KB,0,4498.755076,242932.7741,630.3519002,54,389 ms,-1
4,52,548,male,0,58,72,6,Eastern,16600 KB,26,3381.118901,121720.2804,372.2346001,36,592 ms,52
3,56,466,female,1,76,80,20,Eastern,14900 KB,17,2946.018492,167923.0541,425.7903187,57,826 ms,55
4,68,530,male,14,93,79,25,Western,13100 KB,21,3341.003797,253916.2885,419.0078103,76,1153 ms,54
6,50,602,male,0,65,81,15,Western,20100 KB,25,3816.589702,290060.8173,432.6080183,76,748 ms,50
6,0,584,male,0,87,82,87,Eastern,59600 KB,0,3712.810371,189353.3289,440.5905816,51,483 ms,0
6,88,450,male,0,113,62,25,Eastern,18200 KB,24,2679.38834,58946.54347,315.2736412,22,608 ms,88
5,63,576,male,0,70,76,7,Eastern,24800 KB,22,3598.806248,194335.5374,398.8804611,54,373 ms,63
4,57,523,male,0,80,85,23,Eastern,15800 KB,19,3352.11146,201126.6876,459.8746234,60,499 ms,57
3,49,584,male,0,69,93,20,Eastern,15000 KB,16,3818.868746,217675.5185,517.3960298,57,717 ms,49
4,54,451,male,0,63,76,9,Eastern,15800 KB,19,2817.815309,112712.6123,398.9944238,40,638 ms,54
5,80,588,male,0,91,68,11,Western,15700 KB,22,3579.428151,243401.1142,345.9474732,68,1606 ms,80
3,65,427,male,0,83,68,18,Eastern,17800 KB,18,2599.346633,98775.17206,346.6279634,38,592 ms,65
6,77,576,male,0,100,88,23,Western,17800 KB,22,3720.632612,234399.8546,480.5611817,63,701 ms,77
4,46,519,male,0,61,87,15,Eastern,15000 KB,23,3343.887674,190601.5974,474.2088866,57,702 ms,46
4,51,592,male,0,61,89,10,Eastern,17600 KB,21,3833.634191,218517.1489,488.323496,57,468 ms,51
4,40,564,male,0,55,90,15,Eastern,33800 KB,21,3661.405146,230668.5242,494.5555318,63,467 ms,40
5,55,536,male,0,62,93,7,Eastern,16200 KB,18,3504.989123,199784.38,516.8946117,57,326 ms,55
4,86,622,male,1,97,94,11,Western,10900 KB,24,4076.954266,244617.2559,523.6410489,60,436 ms,85
5,56,503,male,0,82,84,26,Western,15800 KB,21,3215.335664,202566.1468,452.9546635,63,592 ms,56
5,0,584,male,0,89,82,89,Eastern,59800 KB,0,3712.810371,189353.3289,440.5905816,51,420 ms,0
5,68,579,male,1,98,81,30,Eastern,16300 KB,24,3670.773152,220246.3891,432.536756,60,483 ms,67
6,65,498,male,0,73,73,8,Eastern,21100 KB,22,3082.53263,175704.3599,379.1044231,57,1466 ms,65
1,6,656,male,0,56,97,50,Eastern,13300 KB,4,4329.542824,259772.5695,545.3518546,60,327 ms,6
1,6,656,male,0,56,97,50,Eastern,13300 KB,4,4329.542824,259772.5695,545.3518546,60,249 ms,6
6,48,514,male,0,67,82,19,Western,17000 KB,25,3267.78173,196066.9038,439.3544556,60,1310 ms,48
5,86,532,male,1,101,77,15,Eastern,15800 KB,23,3333.93044,190034.0351,405.551932,57,1575 ms,85
4,68,525,female,0,75,76,7,Eastern,15200 KB,22,3280.161945,118085.83,398.9944238,36,982 ms,68
4,60,618,male,6,77,94,17,Western,12200 KB,24,4050.73591,145826.4928,525.2245053,36,358 ms,54
7,70,669,male,0,80,84,10,Western,15400 KB,27,4276.460356,427646.0356,452.9890166,100,436 ms,70
4,90,630,male,0,100,94,10,Western,10900 KB,24,4129.390977,247763.4586,523.6410489,60,483 ms,90
4,56,574,male,2,72,90,16,Eastern,15600 KB,24,3726.323677,149052.9471,495.0699333,40,717 ms,54
6,69,552,male,0,79,77,10,Eastern,15200 KB,24,3459.26617,186800.3732,405.6268983,54,654 ms,69
5,61,529,male,0,79,80,18,Eastern,27700 KB,22,3344.299962,190625.0978,425.7903187,57,1013 ms,61
5,58,565,male,1,72,79,14,Eastern,16000 KB,20,3561.636123,121095.6282,419.7398968,34,342 ms,57
4,64,442,male,1,83,69,19,Eastern,54300 KB,20,2699.96781,107998.7124,353.7585727,40,421 ms,63
3,65,498,male,0,70,86,5,Eastern,17700 KB,21,3200.279848,115210.0745,468.3101095,36,514 ms,65
6,79,578,male,0,94,93,15,Eastern,15800 KB,22,3779.633793,215439.1262,517.3960298,57,467 ms,79
1,6,688,male,0,69,86,63,Eastern,13300 KB,6,4421.270151,176850.806,466.7930215,40,296 ms,6
4,55,500,male,0,71,77,16,Eastern,15600 KB,24,3133.39327,188003.5962,405.6268983,60,685 ms,55
4,52,510,female,0,59,88,7,Eastern,15700 KB,19,3294.310126,138361.0253,480.5611817,42,1590 ms,52
7,48,660,male,0,59,100,11,Eastern,15700 KB,25,4384.945085,249941.8699,568.5814168,57,217 ms,48
5,63,574,male,0,78,87,15,Eastern,92300 KB,17,3698.249567,210800.2253,474.5420279,57,1294 ms,63
5,0,697,male,0,57,101,57,Eastern,12100 KB,0,4640.773403,278446.4042,574.6521014,60,390 ms,0
4,73,586,male,0,87,83,14,Eastern,17000 KB,21,3735.773107,149430.9243,446.2065082,40,374 ms,73
5,77,0,male,0,85,0,8,Eastern,16200 KB,25,0,0,0,0,404 ms,77
5,0,627,male,0,59,104,59,Eastern,14500 KB,0,4201.175703,239467.0151,598.3512574,57,420 ms,0
5,0,634,male,0,78,90,78,Eastern,13300 KB,0,4115.834863,234602.5872,495.8441109,57,421 ms,0
6,59,493,male,0,77,69,18,Eastern,17600 KB,24,3011.502557,171655.6458,353.3374044,57,826 ms,59
5,69,578,male,0,81,83,12,Eastern,13400 KB,21,3684.772791,198977.7307,446.8336245,54,1387 ms,69
4,89,406,male,2,103,47,14,Eastern,36100 KB,19,2255.163074,45103.26148,232.5286082,20,327 ms,87
4,64,526,male,1,91,79,27,Eastern,27100 KB,21,3315.788674,208894.6864,419.2271063,63,405 ms,63
4,63,513,male,0,82,77,19,Western,14600 KB,20,3214.861495,183247.1052,405.551932,57,389 ms,63
4,58,478,male,0,79,74,21,Eastern,15800 KB,22,2968.118709,169182.7664,385.5385456,57,499 ms,58
5,63,577,male,0,79,87,16,Eastern,225400 KB,17,3717.578397,211901.9686,474.5420279,57,1340 ms,63
5,63,577,male,0,79,87,16,Eastern,92300 KB,17,3717.578397,211901.9686,474.5420279,57,1341 ms,63
5,56,599,female,0,70,77,14,Eastern,18000 KB,25,3753.805138,213966.8929,405.551932,57,342 ms,56
5,56,599,female,0,70,77,14,Eastern,18000 KB,25,3753.805138,213966.8929,405.551932,57,296 ms,56
5,68,545,male,0,91,92,23,Western,15400 KB,19,3555.341266,223986.4998,508.6701412,63,655 ms,68
5,70,557,male,1,89,77,19,Eastern,95900 KB,19,3490.600103,132642.8039,405.551932,38,717 ms,69
6,73,588,male,0,90,86,17,Eastern,26300 KB,21,3778.643676,226718.6205,466.9609738,60,872 ms,73
3,60,456,male,4,81,71,21,Eastern,18900 KB,23,2804.284686,112171.3875,366.4572094,40,795 ms,56
5,64,559,male,0,81,81,17,Eastern,14100 KB,24,3543.976152,202006.6406,432.6080183,57,1029 ms,64
4,71,473,male,0,91,69,20,Western,14100 KB,22,2889.332068,156023.9317,352.7497745,54,920 ms,71
4,83,553,male,0,98,93,15,Western,92500 KB,22,3616.154823,206120.8249,517.3960298,57,514 ms,83
5,62,428,male,0,77,78,15,Western,16600 KB,19,2690.15215,112986.3903,412.5946318,42,296 ms,62
1,7,659,male,0,68,97,61,Eastern,146900 KB,4,4349.342563,165275.0174,545.8935843,38,499 ms,7
1,7,659,male,0,68,97,61,Eastern,146900 KB,4,4349.342563,165275.0174,545.8935843,38,468 ms,7
4,79,535,female,0,92,85,13,Eastern,15000 KB,21,3429.024151,205741.4491,460.0105131,60,1341 ms,79
5,72,549,female,0,88,85,16,Eastern,15000 KB,28,3518.755624,211125.3374,460.0105131,60,358 ms,72
5,53,550,male,0,66,82,13,Eastern,15800 KB,23,3496.653603,293718.9026,439.3544556,84,389 ms,53
4,77,495,male,0,84,70,7,Eastern,17800 KB,20,3033.995093,109223.8234,359.2147805,36,436 ms,77
3,69,532,male,0,89,78,20,Western,15800 KB,23,3343.83398,200630.0388,412.4094067,60,358 ms,69
6,49,622,female,0,73,80,24,Eastern,12500 KB,19,3932.239275,235934.3565,425.7903187,60,311 ms,49
5,58,569,male,0,89,85,31,Eastern,19300 KB,21,3646.943443,240698.2672,460.0105131,66,1497 ms,58
5,75,546,male,0,84,82,9,Eastern,17900 KB,22,3471.223395,291582.7651,439.3544556,84,421 ms,75
5,71,518,male,1,93,72,22,Western,17100 KB,23,3196.021151,172585.1421,372.2746801,54,1544 ms,70
5,70,593,male,1,89,114,19,Eastern,25000 KB,19,4051.903778,170179.9587,670.7119319,42,1309 ms,69
6,51,750,male,0,60,119,9,Eastern,8600 KB,24,5171.113322,310266.7993,709.9210053,60,218 ms,51
7,70,612,male,0,87,85,17,Western,14500 KB,29,3922.547253,329493.9692,459.8067162,84,561 ms,70
5,79,549,male,0,94,74,15,Eastern,17200 KB,23,3408.989898,194312.4242,385.5385456,57,1154 ms,79
7,66,466,male,2,84,71,18,Eastern,19400 KB,18,2865.782158,154752.2365,365.6422056,54,1325 ms,64
6,69,604,male,0,98,78,29,Eastern,26900 KB,23,3796.38294,216393.8276,412.2983693,57,436 ms,69
6,69,604,male,0,98,78,29,Eastern,26900 KB,23,3796.38294,216393.8276,412.2983693,57,358 ms,69
4,49,572,male,0,64,83,15,Eastern,27500 KB,22,3646.522555,145860.9022,446.1369639,40,468 ms,49
7,52,667,male,0,58,111,6,Eastern,63800 KB,21,4531.875383,258316.8968,651.2784383,57,202 ms,52
5,66,586,male,0,81,88,15,Eastern,92300 KB,17,3785.226929,215757.9349,481.2514689,57,545 ms,66
6,75,551,male,0,90,87,15,Eastern,33900 KB,20,3550.061866,213003.712,473.7434822,60,467 ms,75
5,61,620,male,0,85,84,24,Eastern,16500 KB,26,3963.236802,225904.4977,453.5050955,57,311 ms,61
6,71,547,male,0,90,89,19,Eastern,37800 KB,20,3542.226187,212533.5712,487.7378322,60,420 ms,71
6,0,653,male,0,84,92,84,Eastern,73600 KB,0,4259.885957,242813.4996,510.1851706,57,327 ms,0
5,71,478,male,0,86,86,15,Eastern,14900 KB,19,3071.754553,129013.6912,466.6587689,42,1699 ms,71
4,64,448,male,1,83,69,19,Eastern,54300 KB,20,2736.618957,109464.7583,353.7585727,40,405 ms,63
7,60,541,male,0,76,90,16,Western,20200 KB,24,3512.092525,231798.1067,494.2988412,66,654 ms,60
1,10,499,male,0,95,85,85,Eastern,12100 KB,4,3198.286077,134328.0152,459.8067162,42,451 ms,10
