numberOfFunction,slocP,program_length,gender,blankLine,loc,program_vocabulary,comments,continent,memory,cyclomatic_complexity,volume,effort,calculated_estimated_program_length,difficulty,time,lsloc
1,50,312,male,0,66,61,16,Western,13800 KB,12,1850.390049,55511.70148,300.7868035,30,2012 ms,50
2,34,385,male,0,53,70,19,Western,21500 KB,16,2359.773962,127427.7939,359.2147805,54,951 ms,34
2,45,443,male,4,61,73,16,Western,15400 KB,17,2742.09228,139846.7063,378.9461511,51,701 ms,41
1,62,407,male,0,79,64,17,Western,12200 KB,14,2442,166056,320.1804545,68,4866 ms,62
4,74,379,male,3,93,66,19,Western,9400 KB,23,2290.825371,43525.68205,334.5126491,19,702 ms,71
2,26,366,male,0,57,84,31,Western,9400 KB,16,2339.588177,93583.52707,452.9890166,40,498 ms,26
1,32,343,male,0,50,70,18,Western,310000 KB,8,2102.344075,58865.63409,360.541081,28,3151 ms,32
1,37,351,male,6,59,72,22,Western,14100 KB,15,2165.643676,69300.59762,372.5956925,32,748 ms,31
2,49,308,male,1,77,56,28,Western,23500 KB,10,1788.665316,33984.641,275.6175548,19,888 ms,48
3,37,420,male,5,70,85,33,Western,15400 KB,13,2691.944193,113061.6561,459.8067162,42,889 ms,32
1,35,402,male,0,54,62,19,Western,84600 KB,10,2393.586917,129253.6935,308.3287327,54,920 ms,35
2,37,394,male,0,49,66,12,Western,11800 KB,16,2381.491283,107167.1077,333.1049912,45,3275 ms,37
3,65,436,male,0,76,70,11,Western,10700 KB,18,2672.367395,136290.7372,359.0498112,51,4617 ms,65
1,39,403,male,0,58,63,19,Western,60000 KB,9,2408.843809,130077.5657,314.4992626,54,1060 ms,39
1,39,403,male,0,58,63,19,Western,60000 KB,9,2408.843809,130077.5657,314.4992626,54,1060 ms,39
1,51,384,male,0,59,52,8,Western,11800 KB,13,2188.968852,153227.8196,244.9233738,70,4383 ms,51
4,47,367,male,1,76,79,29,Western,23600 KB,16,2313.487535,87912.52631,419.0078103,38,1107 ms,46
1,68,379,male,1,92,80,24,Western,15300 KB,13,2396.010748,91048.40842,425.7903187,38,1700 ms,67
1,49,388,male,0,72,78,23,Western,15500 KB,10,2438.736061,92671.97031,412.2983693,38,764 ms,49
2,50,401,male,1,68,70,18,Western,11800 KB,14,2457.84249,176964.6593,359.2147805,72,4414 ms,49
2,46,320,male,0,58,64,12,Western,9400 KB,14,1920,103680,320.7232379,54,794 ms,46
2,56,412,male,0,66,73,10,Western,10600 KB,15,2550.207718,145361.8399,378.9461511,57,577 ms,56
2,48,398,male,0,61,73,13,Western,34100 KB,14,2463.550174,140422.3599,378.9461511,57,888 ms,48
1,39,417,male,0,55,60,16,Western,83300 KB,10,2463.173378,133011.3624,296.1564001,54,904 ms,39
3,68,396,male,0,76,68,8,Western,13100 KB,16,2410.635285,86782.87026,346.3298602,36,1170 ms,68
2,41,396,male,0,58,82,17,Western,11800 KB,14,2517.590594,151055.4356,439.3544556,60,763 ms,41
1,50,260,male,0,64,38,14,Western,26100 KB,14,1364.461153,23195.83961,184.2797931,17,904 ms,50
1,49,376,male,0,70,65,21,Western,15400 KB,11,2264.410298,81518.77072,326.9987489,36,4008 ms,49
1,35,328,male,0,57,67,22,Western,0 KB,10,1989.677254,67649.02665,339.4387425,34,3057 ms,35
2,36,371,male,3,63,59,27,Western,11700 KB,9,2182.460571,78568.58057,290.8572701,36,1200 ms,33
3,48,547,male,0,71,81,23,Western,10600 KB,26,3467.897952,197670.1832,432.75063,57,826 ms,48
2,52,438,male,0,61,68,9,Western,13200 KB,23,2666.308724,159978.5235,347.4830616,60,795 ms,52
3,48,42,male,1,74,15,26,Western,21300 KB,15,164.089405,0,58.60335893,0,748 ms,47
2,51,409,male,1,69,71,18,Western,11800 KB,14,2515.246572,191158.7395,365.8862514,76,764 ms,50
2,44,363,male,0,67,79,23,Western,9400 KB,11,2288.272412,86954.35164,419.0078103,38,732 ms,44
3,44,383,male,0,62,61,18,Western,90600 KB,12,2271.4724,86315.95121,304.2381821,38,920 ms,44
3,60,402,male,0,85,72,25,Western,15500 KB,16,2480.309851,94251.77432,372.3949821,38,607 ms,60
5,84,488,male,0,104,86,20,Western,36400 KB,18,3136.0172,178752.9804,467.1963626,57,873 ms,84
2,31,361,male,0,61,64,30,Western,24900 KB,7,2166,86640,323.7015572,40,2262 ms,31
1,41,332,male,0,60,59,19,Western,323400 KB,10,1953.037492,82027.57468,288.0881667,42,3197 ms,41
2,76,363,male,0,82,71,6,Western,11800 KB,16,2232.358204,84829.61177,365.8862514,38,483 ms,76
2,55,392,male,2,75,67,20,Western,15400 KB,15,2377.906963,135540.6969,340.3026944,57,639 ms,53
2,45,367,male,0,65,77,20,Western,9400 KB,15,2299.91066,87396.6051,405.551932,38,717 ms,45
2,45,372,male,0,67,80,22,Western,9400 KB,12,2351.757251,94070.29005,425.7542476,40,655 ms,45
2,36,364,male,0,60,44,24,Western,23500 KB,19,1987.233109,0,240.2149912,0,4555 ms,36
4,51,428,male,2,57,65,6,Western,16300 KB,22,2577.573424,87637.49642,326.5538222,34,935 ms,49
1,43,376,male,5,66,57,23,Western,0 KB,11,2193.166645,61408.66607,275.4873867,28,4538 ms,38
1,7,395,male,0,54,72,47,Western,323400 KB,2,2437.120376,124293.1392,372.2746801,51,1091 ms,7
6,47,519,male,0,65,99,18,Western,15400 KB,18,3440.636086,206438.1651,559.9530637,60,732 ms,47
2,34,391,male,0,70,80,36,Western,10600 KB,7,2471.873885,49437.4777,425.7903187,20,685 ms,34
2,44,366,male,0,78,73,34,Western,9400 KB,7,2265.475789,90619.03154,379.3421297,40,842 ms,44
1,52,335,female,0,55,62,3,Western,15400 KB,12,1994.655764,59839.67292,307.1601712,30,1122 ms,52
2,64,371,male,0,77,67,13,Western,18900 KB,15,2250.51909,121528.0308,339.9564924,54,4632 ms,64
2,60,414,male,0,84,84,24,Western,19000 KB,12,2646.419413,105856.7765,453.092115,40,4289 ms,60
2,59,319,male,0,67,60,8,Western,29500 KB,18,1884.2981,71603.3278,298.3693524,38,873 ms,59
1,50,517,male,0,68,88,18,Western,59900 KB,19,3339.526147,133581.0459,480.9553238,40,1107 ms,50
2,45,415,male,0,76,72,31,Western,15400 KB,11,2560.518876,115223.3494,373.2397178,45,3072 ms,45
1,7,376,male,0,54,71,47,Western,323400 KB,2,2312.304917,83242.97701,365.6422056,36,3151 ms,7
2,39,296,male,0,65,47,26,Western,23600 KB,14,1644.1583,29594.8494,225.9690555,18,842 ms,39
1,38,515,male,2,72,86,34,Western,11900 KB,12,3309.526349,198571.5809,466.7930215,60,841 ms,36
1,60,290,male,0,69,59,9,Western,27100 KB,15,1705.966484,68238.65937,294.7182822,40,4149 ms,60
