@relation 1340B_Gender

@attribute time {155 ms,77 ms,62 ms,109 ms,31 ms,93 ms,202 ms,46 ms,265 ms,78 ms,623 ms,124 ms,514 ms,529 ms,61 ms,140 ms,904 ms,295 ms,108 ms,233 ms,171 ms,156 ms,373 ms,452 ms,280 ms,483 ms,264 ms,468 ms,390 ms,296 ms,592 ms,343 ms,217 ms,997 ms,545 ms,327 ms,30 ms,389 ms,498 ms,795 ms,218 ms,436 ms,655 ms,421 ms,139 ms,920 ms,779 ms,15 ms,717 ms,249 ms,888 ms,546 ms,374 ms,576 ms,826 ms,670 ms,764 ms,966 ms,467 ms,561 ms,451 ms,811 ms,186 ms,187 ms,935 ms,873 ms,702 ms,342 ms,732 ms,405 ms,358 ms,919 ms,234 ms,810 ms,748 ms,624 ms,685 ms,639 ms,654 ms,482 ms,530 ms,607 ms,608 ms,92 ms}
@attribute memory {15900 KB,9000 KB,12600 KB,8100 KB,500 KB,16100 KB,31300 KB,4200 KB,15800 KB,19500 KB,31500 KB,4100 KB,35200 KB,110000 KB,4000 KB,700 KB,15700 KB,16000 KB,31600 KB,20400 KB,19800 KB,31800 KB,43800 KB,35500 KB,32900 KB,16500 KB,16400 KB,21400 KB,59200 KB,800 KB,9900 KB,32000 KB,16900 KB,32100 KB,20700 KB,65500 KB,47200 KB,17000 KB,17900 KB,39000 KB,44200 KB,31900 KB,47400 KB,63600 KB,47600 KB,51100 KB,43500 KB,15600 KB,31700 KB,19400 KB,16300 KB,4800 KB,16200 KB,600 KB,3900 KB,35400 KB,17200 KB,32200 KB,97600 KB,34800 KB,62800 KB,21800 KB,19600 KB,6800 KB,19900 KB,18300 KB,96900 KB,32400 KB,4900 KB,16800 KB,4500 KB,14100 KB,67300 KB,96800 KB,900 KB,99300 KB,4400 KB,58200 KB,4300 KB,35600 KB,63100 KB,155300 KB,17100 KB,6600 KB,157600 KB,34900 KB,7700 KB,129400 KB,34600 KB,7900 KB,157400 KB,66300 KB,20800 KB,36700 KB,20500 KB,158400 KB,236200 KB,62600 KB,19700 KB,20300 KB,126000 KB,17500 KB,39500 KB,39700 KB,8000 KB,97100 KB,40600 KB,31400 KB,27600 KB,200 KB,19000 KB,9500 KB,27300 KB,11900 KB,1100 KB,11800 KB,9100 KB,13300 KB,32300 KB,300 KB,8600 KB,75900 KB,16600 KB,5900 KB,63300 KB,36100 KB,8200 KB,18100 KB,20000 KB,26700 KB,1500 KB,100 KB,1700 KB,47300 KB,253100 KB,192800 KB,36200 KB,27800 KB,2400 KB,5000 KB,47000 KB,98800 KB,19100 KB,35800 KB,21600 KB,8500 KB,55000 KB,20100 KB,141700 KB,6300 KB,130500 KB,173800 KB,173600 KB,129600 KB,173400 KB,189200 KB,8300 KB,102500 KB,8900 KB,172800 KB,63500 KB,44300 KB}
@attribute country {India,China,Iran,Egypt,Unknown,Mexico,Belarus,Japan,Jordan,Finland,Romania,'South Korea',Bangladesh,Poland,Russia,'Hong Kong',Ukraine,Bulgaria,Lebanon,Syria,Brazil,'South Africa',Italy,Canada,Aruba,Norway,'United States',Moldova,Georgia,Indonesia,Kazakhstan,Tajikistan,Colombia,Australia,'Bosnia and Herzegovina',Thailand,Peru,'United Kingdom',Turkey,Austria,Sweden,Cuba,Vietnam,Azerbaijan,Estonia,Chile,Croatia,Serbia,Taiwan,Germany,France,Singapore,Philippines,Spain}
@attribute continent {Asia,AsiaAfrica,Unknown,'North America',Europe,AsiaEurope,'South America',Africa,'South Africa',Australia}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
46 ms,700 KB,Finland,Europe,79,357,419.080878,2250.449727,47.473684,106837.1397,43,37,37,6,0,13,1,male
202 ms,15700 KB,China,Asia,95,384,531.895976,2522.824554,33.666667,84935.0933,44,37,35,7,2,15,1,male
295 ms,16000 KB,Egypt,AsiaAfrica,63,356,314.961207,2127.911653,64.038462,136268.1885,59,50,48,9,2,17,3,male
108 ms,31600 KB,Bangladesh,Asia,65,339,326.731624,2041.582689,37.333333,76219.08704,52,44,44,8,0,14,3,male
46 ms,4000 KB,Poland,Europe,71,333,367.358781,2047.865791,47.793103,97873.86159,67,39,28,28,11,14,1,male
77 ms,20400 KB,Iran,Asia,62,362,308.328733,2155.419064,43.615385,94009.4315,48,40,40,8,0,19,3,male
124 ms,19800 KB,Iran,Asia,80,346,425.790319,2187.387121,44.153846,96581.55441,56,41,36,15,5,12,1,male
140 ms,31800 KB,India,Asia,74,279,385.655592,1732.437489,33.428571,57912.91035,40,31,31,9,0,12,2,male
109 ms,4100 KB,Finland,Europe,59,318,288.676439,1870.68049,41.25,77165.5702,55,31,24,24,7,16,2,male
46 ms,700 KB,Finland,Europe,72,361,372.877124,2227.342926,51.25,114151.3249,41,35,35,6,0,13,1,male
233 ms,43800 KB,Russia,AsiaEurope,66,393,334.027183,2375.446889,63.107143,149907.6662,53,45,45,8,0,17,3,male
62 ms,700 KB,Finland,Europe,78,367,412.298369,2306.742614,46.315789,106838.6053,42,37,37,5,0,13,1,male
171 ms,15900 KB,Bangladesh,Asia,63,342,315.51765,2044.229734,50.92,104092.178,55,39,37,16,2,15,3,male
61 ms,20400 KB,India,Asia,63,367,314.961207,2193.661732,44.826923,98335.10571,56,44,40,12,4,19,3,male
61 ms,700 KB,Finland,Europe,72,361,372.877124,2227.342926,51.25,114151.3249,45,39,39,6,0,13,1,male
156 ms,15900 KB,India,Asia,61,313,301.736338,1856.320787,34.326923,63721.78085,85,49,25,36,24,14,2,male
108 ms,35500 KB,'Hong Kong',Asia,73,362,380.536102,2240.71649,39.416667,88321.57499,48,36,36,12,0,14,2,male
77 ms,32900 KB,Ukraine,Europe,78,353,412.409407,2218.746983,47.378049,105119.9028,51,40,35,11,5,10,1,male
77 ms,15800 KB,China,Asia,59,387,288.676439,2276.58286,64.096154,145920.2052,57,43,37,14,6,15,2,male
171 ms,15900 KB,Bangladesh,Asia,60,293,297.528741,1730.718945,44.909091,77725.01442,45,41,41,4,0,17,2,male
62 ms,16500 KB,China,Asia,64,383,322.916224,2298,27.5,63195,63,54,54,9,0,17,2,female
77 ms,4200 KB,Bangladesh,Asia,58,321,282.211433,1880.411899,35.076923,65959.06355,47,41,39,6,2,17,3,male
109 ms,16400 KB,Bulgaria,Europe,87,361,473.9428,2325.902602,54.042553,125697.7151,41,32,28,9,4,12,1,male
373 ms,31800 KB,India,Asia,49,293,237.474993,1645.109984,25.909091,42623.30414,60,50,49,10,1,17,3,male
46 ms,16000 KB,India,Asia,71,329,367.358781,2023.266802,42.724138,86442.32993,43,39,39,4,0,19,2,male
46 ms,21400 KB,China,Asia,77,381,405.551932,2387.645672,35.921053,85766.74585,65,56,56,9,0,18,1,female
171 ms,9000 KB,Lebanon,Asia,58,346,284.224796,2026.861424,38.454545,77942.03477,60,48,47,12,1,16,2,male
62 ms,15900 KB,China,Asia,60,386,295.62131,2280.05977,40.6,92570.42666,66,57,57,9,0,18,2,male
171 ms,59200 KB,'South Korea',Asia,107,483,618.589644,3256.128554,43.174242,140580.8836,45,36,34,9,2,21,1,male
155 ms,16000 KB,India,Asia,60,324,298.369352,1913.832553,44.571429,85302.25093,69,54,46,15,8,14,2,male
62 ms,16000 KB,China,Asia,68,440,345.989912,2678.48365,41.893939,112212.2317,50,45,45,5,0,16,1,male
