time(ms),time,memory(KB),memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
748 ms,748,15200 KB,15200,India,Asia,51,292,238.9889445,1656.3482,37.56818182,62225.99033,55,47,47,8,0,11,3,male
779 ms,779,14200 KB,14200,China,Asia,49,297,227.3200108,1667.568824,46.4,77375.19342,60,56,56,4,0,11,3,male
748 ms,748,14200 KB,14200,India,Asia,57,295,276.504106,1720.702554,52.9375,91089.69146,51,41,36,10,5,12,3,male
218 ms,218,14100 KB,14100,China,Asia,64,304,320.0450916,1824,37.79032258,68929.54839,48,35,34,13,1,12,3,male
748 ms,748,14200 KB,14200,India,Asia,49,315,229.4868683,1768.633601,47.05882353,83229.81651,65,59,59,6,0,15,3,male
311 ms,311,15900 KB,15900,China,Asia,54,307,257.6220106,1766.750463,41.7826087,73819.44327,45,38,38,7,0,11,3,male
264 ms,264,13400 KB,13400,Vietnam,Asia,60,306,295.1851693,1807.508522,56.88461538,102819.4271,51,38,30,13,8,12,3,male
264 ms,264,14200 KB,14200,Taiwan,Asia,57,287,277.0156616,1674.039434,53.2173913,89088.01162,49,41,40,8,1,13,3,male
358 ms,358,24600 KB,24600,India,Asia,59,289,288.6764386,1700.083841,53.30769231,90627.54631,55,36,29,19,7,10,3,male
248 ms,248,14000 KB,14000,China,Asia,65,324,326.4650059,1951.247171,45.890625,89543.95223,50,41,37,9,4,12,3,male
296 ms,296,11500 KB,11500,Russia,AsiaEurope,79,374,422.3275002,2357.614,41.63265306,98153.72571,40,29,25,11,4,11,3,male
296 ms,296,14200 KB,14200,China,Asia,56,265,271.0812322,1538.949054,51,78486.40177,41,33,33,8,0,11,3,male
311 ms,311,22700 KB,22700,Mexico,North America,35,223,164.7548875,1143.830113,16,18301.2818,38,31,31,7,0,8,3,male
763 ms,763,16900 KB,16900,Russia,AsiaEurope,63,305,313.6717238,1823.070377,46.75,85228.54011,57,37,24,20,13,11,3,male
1045 ms,1045,30000 KB,30000,Bangladesh,Asia,38,251,184.2797931,1317.229806,17.5,23051.5216,45,27,23,18,4,11,3,male
156 ms,156,12100 KB,12100,China,Asia,66,388,333.1049912,2345.224918,38.08571429,89319.56617,43,39,39,4,0,11,4,male
311 ms,311,16100 KB,16100,India,Asia,51,249,242.4606049,1412.43391,37,52260.05468,59,39,28,20,11,11,3,male
280 ms,280,16900 KB,16900,Hong Kong,Asia,58,346,281.8126557,2026.861424,46.2,93640.9978,40,35,35,5,0,13,3,male
264 ms,264,16100 KB,16100,China,Asia,53,258,252.2386659,1477.803477,36.57142857,54045.38431,44,38,38,6,0,11,3,female
296 ms,296,14200 KB,14200,Syria,Asia,58,310,281.9620482,1815.974108,63.14814815,114675.402,46,31,22,15,9,11,3,male
249 ms,249,14100 KB,14100,China,Asia,57,308,276.0964047,1796.530124,48,86233.44597,41,34,33,7,1,13,3,male
296 ms,296,22700 KB,22700,India,Asia,36,218,171.2198934,1127.04365,16.5,18596.22023,41,30,27,11,3,11,3,male
296 ms,296,21100 KB,21100,India,Asia,35,235,164.7548875,1205.381509,16,19286.10414,53,41,35,12,6,15,3,male
264 ms,264,12600 KB,12600,India,Asia,54,258,257.6220106,1484.760976,51.2173913,76045.58388,41,36,36,5,0,11,3,male
763 ms,763,24700 KB,24700,India,Asia,48,289,223.0669539,1614.054163,46.5,75053.51857,63,47,39,16,8,11,3,male
1029 ms,1029,14000 KB,14000,Iran,Asia,0,0,0,0,0,0,46,35,32,11,3,11,3,male
764 ms,764,28300 KB,28300,India,Asia,51,268,242.4606049,1520.209992,35,53207.34971,60,45,39,15,6,11,3,male
264 ms,264,17800 KB,17800,Egypt,AsiaAfrica,53,256,252.9035678,1466.347636,41.25,60486.84,46,41,41,5,0,11,3,male
764 ms,764,16100 KB,16100,India,Asia,50,249,235.05865,1405.320191,31.11111111,43721.07262,59,48,45,11,3,9,3,male
249 ms,249,13400 KB,13400,Argentina,South America,53,246,251.2486429,1409.068432,30,42272.05295,53,37,26,16,11,11,3,male
732 ms,732,19700 KB,19700,India,Asia,52,290,245.8187515,1653.127518,45.02380952,74430.0985,51,41,37,10,4,11,3,male
280 ms,280,13400 KB,13400,Indonesia,Asia,54,309,258.1074956,1778.260238,55.27272727,98289.29316,50,39,35,11,4,14,3,male
1060 ms,1060,21200 KB,21200,India,Asia,34,209,158.3349731,1063.279734,15.5,16480.83587,76,47,25,29,22,12,3,male
748 ms,748,17800 KB,17800,Bangladesh,Asia,50,237,233.6452798,1337.593917,34.5,46146.99014,54,42,38,12,4,12,3,male
794 ms,794,23000 KB,23000,India,Asia,38,268,180.9737366,1406.444574,17,23909.55775,64,57,57,7,0,12,3,male
249 ms,249,12600 KB,12600,India,Asia,52,244,247.1756287,1390.907291,49.5,68849.91092,59,47,41,12,6,10,3,male
264 ms,264,15300 KB,15300,Unknown,Unknown,54,305,258.7036718,1755.240688,51.85714286,91021.76711,58,46,40,12,6,11,3,male
312 ms,312,22300 KB,22300,India,Asia,61,285,301.7363383,1690.260141,45.09615385,76224.23137,58,42,36,16,6,12,3,male
295 ms,295,13600 KB,13600,South Korea,Asia,58,263,282.5614107,1540.649002,34.98,53891.90208,45,29,24,16,5,12,3,male
483 ms,483,15900 KB,15900,Taiwan,Asia,49,273,231.5770955,1532.815787,36.26666667,55590.11922,68,49,36,19,13,11,3,male
311 ms,311,16100 KB,16100,China,Asia,54,295,256.9778536,1697.691813,40.6,68926.28761,41,31,26,10,5,15,3,male
312 ms,312,16300 KB,16300,Unknown,Unknown,64,312,320.7232379,1872,45,84240,51,40,36,11,4,12,4,male
280 ms,280,16300 KB,16300,Unknown,Unknown,64,312,320.7232379,1872,45,84240,51,40,36,11,4,12,4,male
280 ms,280,21100 KB,21100,India,Asia,44,249,212.401259,1359.398473,52.85714286,71853.91929,58,36,28,22,8,8,3,male
779 ms,779,14200 KB,14200,Russia,AsiaEurope,58,296,281.9620482,1733.962375,48.7962963,84610.9418,57,43,35,14,8,11,3,male
779 ms,779,14200 KB,14200,India,Asia,51,295,239.4453837,1673.365476,43.57142857,72910.92431,74,49,34,25,15,8,3,male
265 ms,265,12800 KB,12800,India,Asia,53,252,252.2386659,1443.435955,44.95238095,64885.88291,60,47,41,13,6,10,3,male
327 ms,327,22300 KB,22300,India,Asia,59,321,290.159225,1888.328419,41.47826087,78324.57876,50,42,42,8,0,15,3,male
1029 ms,1029,13200 KB,13200,India,Asia,55,296,264.041925,1711.282475,57.04347826,97617.50467,53,37,32,16,5,11,3,male
249 ms,249,19000 KB,19000,India,Asia,59,301,289.5640056,1770.675558,47.39583333,83922.64363,52,49,49,3,0,12,2,male
795 ms,795,24400 KB,24400,Germany,Europe,60,318,294.4134357,1878.391209,50.5,94858.75607,48,33,26,15,7,13,3,male
265 ms,265,15500 KB,15500,Peru,South America,61,301,301.3556992,1785.151939,49.74074074,88794.77976,55,40,31,15,9,11,3,male
795 ms,795,15300 KB,15300,Russia,AsiaEurope,53,308,250.9205489,1764.1995,62.22916667,109784.6647,51,40,35,11,5,10,3,male
171 ms,171,12000 KB,12000,China,Asia,75,430,392.9423377,2678.392037,39.67857143,106274.7698,38,0,0,38,0,0,3,female
249 ms,249,15900 KB,15900,China,Asia,54,327,256.9778536,1881.848213,40.02,75311.56549,45,37,37,8,0,13,3,male
826 ms,826,11600 KB,11600,India,Asia,51,327,239.4453837,1854.883087,36.42857143,67570.74102,62,54,53,8,1,13,3,male
264 ms,264,10000 KB,10000,Turkmenistan,Asia,56,316,269.6764904,1835.124155,45.26,83057.71927,57,34,24,23,10,14,3,male
249 ms,249,12800 KB,12800,India,Asia,55,258,264.041925,1491.590806,43.82608696,65370.58837,61,48,42,13,6,10,3,male
280 ms,280,15500 KB,15500,Indonesia,Asia,58,299,283.5668306,1751.536318,51.73913043,90622.96599,55,40,32,15,8,12,3,male
280 ms,280,13600 KB,13600,Vietnam,Asia,55,278,264.5725015,1607.218,36.75,59065.26151,46,39,39,7,0,14,3,male
264 ms,264,16200 KB,16200,Bangladesh,Asia,65,355,326.4650059,2137.940574,56.24242424,120242.9607,51,34,25,17,9,11,3,male
841 ms,841,27100 KB,27100,India,Asia,34,238,158.3349731,1210.816156,20.66666667,25023.5339,73,44,20,29,24,10,3,male
280 ms,280,14700 KB,14700,Iran,Asia,0,0,0,0,0,0,50,38,38,12,0,14,3,female
452 ms,452,15900 KB,15900,Poland,Europe,60,344,294.6059378,2031.970365,54.28571429,110306.9627,69,45,26,24,19,11,3,male
748 ms,748,31900 KB,31900,India,Asia,58,291,281.9620482,1704.67247,43.05555556,73395.62022,53,29,15,24,14,12,3,male
311 ms,311,19200 KB,19200,Syria,Asia,38,214,188.1173001,1123.056488,18,20215.01678,45,39,39,6,0,13,3,male
748 ms,748,13400 KB,13400,Argentina,South America,48,228,223.0669539,1273.37145,35.55882353,45279.59068,57,41,30,16,11,11,3,male
265 ms,265,14900 KB,14900,Bangladesh,Asia,68,325,345.9899115,1978.425423,50.90909091,100719.8397,53,41,35,12,6,11,3,male
561 ms,561,26100 KB,26100,India,Asia,40,244,191.1345461,1298.550455,24.5,31814.48615,61,47,47,14,0,11,3,male
1091 ms,1091,30000 KB,30000,Taiwan,Asia,41,265,197.7269405,1419.751281,18,25555.52306,48,27,23,21,4,11,3,male
295 ms,295,16100 KB,16100,China,Asia,77,361,405.7769322,2262.309941,42.14634146,95348.08728,42,32,28,10,4,15,3,female
748 ms,748,14200 KB,14200,India,Asia,56,343,269.4181505,1991.922738,52.5,104575.9438,89,60,38,29,22,13,3,male
234 ms,234,14000 KB,14000,Bangladesh,Asia,65,299,326.4650059,1800.687976,38.78787879,69844.86695,45,34,30,11,4,12,3,male
795 ms,795,16100 KB,16100,India,Asia,60,272,294.4615345,1606.674242,39.01724138,62687.99672,50,39,35,11,4,12,3,male
280 ms,280,12800 KB,12800,India,Asia,55,263,264.041925,1520.497605,43.82608696,66637.46024,62,49,43,13,6,11,3,male
810 ms,810,16100 KB,16100,India,Asia,52,290,245.3142135,1653.127518,36.81818182,60865.14954,57,41,32,16,9,11,3,male
249 ms,249,15900 KB,15900,China,Asia,66,378,332.9300119,2284.780977,60.5,138229.2491,42,36,36,6,0,14,4,male
389 ms,389,20800 KB,20800,India,Asia,39,237,190.8721876,1252.640326,24,30063.36782,57,48,48,9,0,12,3,male
280 ms,280,10900 KB,10900,Italy,Europe,63,321,313.8551855,1918.706855,42.79310345,82107.42095,50,39,34,11,5,13,4,male
795 ms,795,16100 KB,16100,India,Asia,49,300,228.6387356,1684.412953,48.22222222,81226.13574,59,42,34,17,8,12,3,male
186 ms,186,35200 KB,35200,China,Asia,71,389,365.7235111,2392.251629,47.88235294,114546.6368,44,0,0,44,0,0,3,female
826 ms,826,13400 KB,13400,Indonesia,Asia,59,239,288.3819626,1405.951689,24.88888889,34992.57537,47,38,38,9,0,12,3,male
748 ms,748,14200 KB,14200,Unknown,Unknown,72,362,372.3949821,2233.512851,42.05263158,93925.09303,46,38,37,8,1,19,4,male
748 ms,748,17800 KB,17800,India,Asia,52,250,245.3142135,1425.10993,32.72727273,46639.96133,60,45,37,15,8,12,3,male
296 ms,296,26800 KB,26800,Brazil,South America,25,48,91.82263988,222.9050971,11.25,2507.682342,49,35,30,14,5,8,3,male
919 ms,919,15500 KB,15500,Syria,Asia,57,277,275.7915183,1615.710534,42.92307692,69351.26753,64,40,24,24,16,11,3,female
280 ms,280,16100 KB,16100,Unknown,Unknown,51,304,241.523656,1724.417304,42.16666667,72712.92965,58,39,33,19,6,11,3,female
295 ms,295,14500 KB,14500,China,Asia,46,279,209.6645878,1541.073786,53.66666667,82704.29317,47,41,41,6,0,11,3,female
264 ms,264,29000 KB,29000,China,Asia,63,283,313.6717238,1691.570218,40.7,68846.90789,51,39,34,12,5,11,3,female
280 ms,280,14200 KB,14200,Taiwan,Asia,58,309,284.2247957,1810.116127,57.27272727,103670.2873,61,41,28,20,13,14,3,female
1013 ms,1013,34700 KB,34700,China,Asia,81,393,434.543206,2491.561051,48.125,119906.3756,43,29,29,14,0,12,3,female
280 ms,280,14900 KB,14900,South Georgia and the South Sandwich Islands,Antarctic,64,360,320.4063545,2160,58.53448276,126434.4828,59,48,47,11,1,12,3,female
171 ms,171,12000 KB,12000,China,Asia,67,438,339.4387425,2656.947065,54.60606061,145085.4125,58,51,51,7,0,15,4,female
265 ms,265,14800 KB,14800,China,Asia,67,358,339.4387425,2171.65993,32.96969697,71598.96982,53,29,29,24,0,8,3,female
311 ms,311,58300 KB,58300,China,Asia,60,339,294.4615345,2002.435912,39.55172414,79199.79279,56,45,43,11,2,12,3,female
311 ms,311,26600 KB,26600,Ukraine,Europe,57,344,276.0964047,2006.514165,60.8,121996.0612,53,33,29,20,4,11,3,female
1029 ms,1029,16000 KB,16000,Unknown,Unknown,58,378,281.7628977,2214.316816,49,108501.524,54,44,40,10,4,11,3,female
795 ms,795,18900 KB,18900,Bangladesh,Asia,51,268,241.523656,1520.209992,24.75,37625.19729,54,44,39,10,5,13,2,female
795 ms,795,20800 KB,20800,India,Asia,36,306,174.9737366,1581.99705,17,26893.94986,82,68,66,14,2,11,4,female
280 ms,280,16100 KB,16100,Mexico,North America,52,337,247.1756287,1921.048185,36.47368421,70067.70485,59,38,35,21,3,9,3,female
108 ms,108,12800 KB,12800,Japan,Asia,65,408,328.3421192,2457.126068,35.25,86613.69389,72,62,62,10,0,18,6,female
810 ms,810,22400 KB,22400,Russia,AsiaEurope,48,276,223.0669539,1541.44965,51.05882353,78704.60567,62,47,41,15,6,11,3,female
483 ms,483,16000 KB,16000,Egypt,AsiaAfrica,56,331,270.0391,1922.234479,46.66666667,89704.2757,52,40,34,12,6,10,3,female
1107 ms,1107,16000 KB,16000,Romania,Europe,49,342,227.3200108,1920.230767,46.4,89098.70757,54,40,34,14,6,11,3,female
780 ms,780,14200 KB,14200,Bangladesh,Asia,65,357,328.3421192,2149.985309,60.75,130611.6075,69,46,33,23,13,16,8,female
795 ms,795,14200 KB,14200,Bangladesh,Asia,66,359,335.0885565,2169.937489,62.30769231,135203.7974,69,46,33,23,13,16,8,female
795 ms,795,16100 KB,16100,Lebanon,Asia,55,312,263.0928815,1803.784231,45.17307692,81482.4838,53,36,26,17,10,11,3,female
265 ms,265,24000 KB,24000,Taiwan,Asia,66,356,333.1049912,2151.804306,40.08064516,86245.70487,55,30,26,25,4,12,3,female
187 ms,187,13800 KB,13800,China,Asia,71,475,365.8862514,2921.129882,64.69736842,188989.4162,58,0,0,58,0,0,3,female
249 ms,249,17000 KB,17000,Colombia,South America,65,328,327.3557123,1975.336643,43.60714286,86138.78717,66,39,26,27,13,13,5,female
218 ms,218,15100 KB,15100,China,Asia,71,463,365.7235111,2847.332916,33.73529412,96055.61338,76,64,64,12,0,16,4,female
296 ms,296,28600 KB,28600,Japan,Asia,39,265,175.7360429,1400.631588,15,21009.47382,66,43,34,23,9,5,2,female
327 ms,327,22300 KB,22300,Russia,AsiaEurope,55,299,265.9634675,1728.626554,30.625,52939.18823,65,50,44,15,6,14,4,female
295 ms,295,13400 KB,13400,China,Asia,83,444,447.6031056,2830.517508,47.31428571,133923.9141,48,34,34,14,0,21,8,female
234 ms,234,10600 KB,10600,China,Asia,68,468,346.6279634,2848.93261,57.63333333,164193.4827,65,40,37,25,3,14,3,female
858 ms,858,13200 KB,13200,Poland,Europe,50,298,233.1201147,1681.869145,32.45238095,54580.65819,60,45,39,15,6,13,3,female
265 ms,265,13400 KB,13400,China,Asia,83,450,447.6031056,2868.767744,47.31428571,135733.6967,50,36,36,14,0,22,8,female
717 ms,717,11200 KB,11200,China,Asia,65,439,326.5538222,2643.81947,61.41935484,162381.6862,57,20,15,37,5,5,1,female
249 ms,249,14200 KB,14200,Unknown,Unknown,61,396,305.1157897,2348.571986,46.66666667,109600.026,58,33,27,25,6,8,3,female
873 ms,873,15900 KB,15900,China,Asia,73,475,378.8670746,2940.166665,63.20833333,185843.0346,68,58,58,10,0,18,7,female
295 ms,295,24000 KB,24000,India,Asia,37,251,177.7286241,1307.572795,17,22228.73751,52,33,32,19,1,12,4,female
795 ms,795,16100 KB,16100,China,Asia,68,380,345.9474732,2313.23588,41.5,95999.28901,64,40,39,24,1,8,3,female
764 ms,764,16300 KB,16300,Egypt,AsiaAfrica,62,382,307.9068682,2274.502991,49.25925926,112040.3325,64,40,38,24,2,11,3,female
296 ms,296,20800 KB,20800,India,Asia,38,365,188.1173001,1915.493542,18,34478.88376,86,64,57,22,7,16,6,female
764 ms,764,16100 KB,16100,Romania,Europe,55,300,265.9634675,1734.407914,45.5,78915.56009,66,44,30,22,14,16,3,female
327 ms,327,28600 KB,28600,China,Asia,72,505,372.3949821,3115.812126,44.14705882,137553.9412,72,53,51,19,2,19,3,female
296 ms,296,21100 KB,21100,India,Asia,76,348,399.7943904,2174.278775,39.52325581,85934.57622,54,41,41,13,0,13,3,female
405 ms,405,15900 KB,15900,China,Asia,93,490,515.2115894,3204.187817,58.59375,187745.3799,60,40,37,20,3,17,4,female
280 ms,280,14200 KB,14200,India,Asia,70,428,359.4212455,2623.333131,57.59375,151087.5925,64,38,32,26,6,9,3,female
748 ms,748,14200 KB,14200,Taiwan,Asia,60,295,295.1851693,1742.532726,51,88869.16901,69,42,38,27,4,12,3,female
779 ms,779,13900 KB,13900,Ukraine,Europe,83,495,446.1369639,3155.644519,73.21428571,231038.2594,78,40,22,38,18,17,6,female
108 ms,108,12000 KB,12000,China,Asia,106,574,608.4972857,3861.826341,78.2,301994.8199,60,9,-1,51,10,9,2,female
109 ms,109,12000 KB,12000,China,Asia,106,574,608.4972857,3861.826341,78.2,301994.8199,60,9,-1,51,10,9,2,female
264 ms,264,15700 KB,15700,India,Asia,60,361,295.1851693,2132.387505,30.07692308,64135.65496,76,59,54,17,5,14,3,female
280 ms,280,31000 KB,31000,China,Asia,59,402,292.5692484,2364.822506,52.65,124507.9049,93,40,26,53,14,12,3,female
748 ms,748,19000 KB,19000,Unknown,Unknown,53,323,254.5835556,1850.118307,48.61111111,89936.30658,73,58,51,15,7,13,3,female
841 ms,841,14000 KB,14000,China,Asia,69,408,352.582306,2492.277978,46.75,116513.9955,87,37,24,50,13,8,3,female
312 ms,312,24600 KB,24600,India,Asia,57,373,278.3559659,2175.667975,52.28571429,113756.3541,76,44,34,32,10,12,3,female
218 ms,218,17300 KB,17300,China,Asia,68,492,346.1173001,2995.031718,48.88888889,146423.7729,91,70,70,21,0,18,4,female
779 ms,779,16100 KB,16100,Germany,Europe,51,334,240.7106228,1894.590064,48.84210526,92535.76735,82,59,51,23,8,13,4,female
826 ms,826,115500 KB,115500,Unknown,Unknown,55,443,265.9634675,2561.142353,49.875,127736.9749,98,45,28,53,17,12,3,female
763 ms,763,16100 KB,16100,China,Asia,64,442,322.2270913,2652,49.92,132387.84,76,39,39,37,0,8,3,female
265 ms,265,10300 KB,10300,Belarus,Europe,62,335,307.9068682,1994.655764,52.5,104719.4276,83,46,33,37,13,11,3,female
280 ms,280,26300 KB,26300,Belarus,Europe,37,284,181.5249056,1479.484756,17.5,25890.98323,97,41,16,56,25,11,3,female
249 ms,249,14200 KB,14200,Japan,Asia,81,482,432.75063,3055.807701,74.11842105,226491.6419,95,55,39,40,16,16,7,female
280 ms,280,13400 KB,13400,China,Asia,90,510,494.5555318,3310.845079,63.42857143,210002.1736,81,54,45,27,9,26,5,female
561 ms,561,15900 KB,15900,China,Asia,71,496,365.7235111,3050.274571,71.27941176,217421.7772,91,43,35,48,8,13,4,female
311 ms,311,17100 KB,17100,China,Asia,73,452,378.8670746,2797.800701,58.86486486,164692.1602,97,54,28,43,26,17,4,female
904 ms,904,14200 KB,14200,China,Asia,106,680,607.4046851,4574.985909,83.03571429,379887.2228,71,46,43,25,3,24,7,female
1013 ms,1013,64400 KB,64400,China,Asia,81,465,433.2506894,2948.030251,47.6,140326.24,75,51,51,24,0,19,6,female
529 ms,529,24500 KB,24500,Russia,AsiaEurope,69,462,352.4986422,2822.138299,56.61764706,159782.8302,92,51,40,41,11,12,3,female
327 ms,327,28300 KB,28300,India,Asia,41,320,204.176133,1714.416641,19,32573.91619,95,53,40,42,13,13,4,female
280 ms,280,16900 KB,16900,China,Asia,76,383,399.1845378,2392.956238,31.58536585,75582.39824,83,41,31,42,10,10,3,female
280 ms,280,17300 KB,17300,South Korea,Asia,53,385,255.6041684,2205.249375,58.23529412,128423.346,67,45,39,22,6,13,3,female
296 ms,296,16900 KB,16900,Iran,Asia,59,438,288.6764386,2576.597656,68.53846154,176596.0393,76,54,48,22,6,13,3,female
343 ms,343,26300 KB,26300,India,Asia,38,175,162.6452839,918.3873149,25.3,23235.19907,91,58,55,33,3,10,4,female
296 ms,296,9500 KB,9500,China,Asia,74,537,386.1246381,3334.476457,69.57575758,231998.7256,91,50,40,41,10,18,4,female
467 ms,467,14800 KB,14800,China,Asia,90,538,494.3950605,3492.616966,71.04651163,248138.2519,87,45,34,42,11,17,7,female
265 ms,265,22000 KB,22000,India,Asia,80,492,426.079159,3110.388623,45.90540541,142783.6507,101,47,27,54,20,12,5,female
233 ms,233,9800 KB,9800,China,Asia,86,486,466.692323,3123.164671,58.70454545,183343.9624,100,52,47,48,5,17,4,female
295 ms,295,14900 KB,14900,China,Asia,78,474,413.5983953,2979.280652,49.77272727,148286.9233,108,80,80,28,0,24,9,female
358 ms,358,25500 KB,25500,Russia,AsiaEurope,71,479,366.1306865,2945.72887,50.578125,148989.443,124,74,61,50,13,18,4,female
265 ms,265,22400 KB,22400,Japan,Asia,84,613,453.8154506,3918.49058,52.35106383,205137.1505,92,39,30,53,9,16,5,female
296 ms,296,16900 KB,16900,India,Asia,91,687,501.5981141,4470.854918,58.33333333,260799.8702,104,65,53,39,12,18,7,female
295 ms,295,24600 KB,24600,Bangladesh,Asia,89,639,487.5430078,4137.993662,84.44680851,349440.3584,111,56,31,55,25,25,9,female
358 ms,358,36400 KB,36400,India,Asia,80,520,425.8985773,3287.402609,57.47368421,188939.1394,123,83,68,40,15,22,5,female
1419 ms,1419,11000 KB,11000,Japan,Asia,84,544,453.2640759,3477.420678,61.73076923,214663.8534,105,66,54,39,12,21,8,female
249 ms,249,19500 KB,19500,India,Asia,65,445,326.9987489,2679.953677,34.75862069,93151.49332,166,91,66,75,25,17,6,female
592 ms,592,17900 KB,17900,India,Asia,75,681,392.4020294,4241.825528,63.42857143,269052.9335,119,81,80,38,1,17,7,female
295 ms,295,26600 KB,26600,Belarus,Europe,77,559,405.6268983,3503.133676,55.5,194423.919,127,65,58,62,7,18,3,female
295 ms,295,20800 KB,20800,India,Asia,91,797,503.0010296,5186.712328,134.0754717,695410.902,88,54,54,34,0,22,9,female
280 ms,280,23000 KB,23000,India,Asia,89,733,487.3483806,4746.712605,73.63636364,349530.6555,168,118,118,50,0,32,9,female
280 ms,280,47800 KB,47800,Russia,AsiaEurope,77,631,405.551932,3954.342307,52.34210526,206978.6013,143,54,42,89,12,17,5,female
343 ms,343,18400 KB,18400,China,Asia,107,1022,615.8588276,6889.77926,175.704918,1210568.1,115,66,64,49,2,38,11,female
311 ms,311,24600 KB,24600,India,Asia,50,624,255.7247662,3521.766262,29.33333333,103305.1437,208,139,114,69,25,34,12,female
265 ms,265,29900 KB,29900,Bangladesh,Asia,68,725,346.6279634,4413.41056,61.43333333,271130.5221,184,53,2,131,51,10,5,female
234 ms,234,15600 KB,15600,Bangladesh,Asia,84,636,455.7586984,4065.513881,44.64705882,181513.2374,160,38,19,122,19,10,3,female
764 ms,764,15300 KB,15300,China,Asia,116,1334,683.1336612,9148.546648,86.74285714,793571.0749,200,143,126,57,17,36,12,female
311 ms,311,39400 KB,39400,Bangladesh,Asia,8,69,24,207,0,0,226,47,-12,179,59,12,3,female
249 ms,249,10100 KB,10100,China,Asia,11,26,38.05374781,89.94522208,0,0,151,73,73,78,0,68,38,female
311 ms,311,24600 KB,24600,India,Asia,79,1357,428.0138843,8554.230475,45.83333333,392068.8968,396,271,222,125,49,67,23,female
280 ms,280,16100 KB,16100,Bangladesh,Asia,49,373,235.7693245,2094.286772,30.83333333,64573.84213,263,51,11,212,40,24,16,female
530 ms,530,19500 KB,19500,India,Asia,55,224,263.6191856,1295.024576,26.47916667,34291.17158,35,28,25,7,3,10,2,male
389 ms,389,21100 KB,21100,India,Asia,47,213,218.6033589,1183.127425,25.6,30288.06209,50,41,36,9,5,8,2,male
108 ms,108,20900 KB,20900,India,Asia,46,242,217.5786534,1336.701993,35,46784.56977,45,36,29,9,7,10,2,male
108 ms,108,21800 KB,21800,India,Asia,46,214,215.9932866,1182.042259,31.16666667,36840.31706,43,33,28,10,5,11,3,male
108 ms,108,18200 KB,18200,United States,North America,48,225,225.0683649,1256.616563,41.8,52526.57232,41,35,32,6,3,10,2,male
373 ms,373,21100 KB,21100,India,Asia,48,221,225.0683649,1234.276713,25.3,31227.20083,54,40,30,14,10,10,2,male
561 ms,561,15700 KB,15700,Bangladesh,Asia,51,211,240.7106228,1196.881747,23.57894737,28221.21172,35,33,33,2,0,10,2,male
592 ms,592,18600 KB,18600,India,Asia,41,241,188.529325,1291.170033,26.66666667,34431.20088,58,56,56,2,0,10,2,male
124 ms,124,27000 KB,27000,Unknown,Unknown,51,248,241.523656,1406.761485,27.5,38685.94083,52,43,40,9,3,9,2,male
499 ms,499,20600 KB,20600,India,Asia,41,239,192.6252211,1280.454929,31.57142857,40425.79133,56,51,50,5,1,11,2,male
530 ms,530,26400 KB,26400,India,Asia,41,235,190.4650059,1259.024721,26.8125,33757.60033,55,51,51,4,0,12,2,male
108 ms,108,11300 KB,11300,China,Asia,77,403,405.7769322,2525.514976,41.70731707,105332.4539,35,30,30,5,0,20,2,male
108 ms,108,18200 KB,18200,India,Asia,40,250,201.4212455,1330.482024,19,25279.15845,59,49,46,10,3,11,2,male
436 ms,436,16700 KB,16700,Jordan,Asia,52,258,248.0323866,1470.713447,28.33333333,41670.21434,46,30,22,16,8,10,2,male
545 ms,545,23500 KB,23500,Bangladesh,Asia,47,246,221.0794529,1366.428858,27.46153846,37524.23863,60,46,38,14,8,9,2,male
343 ms,343,16700 KB,16700,China,Asia,56,315,271.0812322,1829.3168,27.81818182,50888.26736,38,35,35,3,0,15,5,male
343 ms,343,16700 KB,16700,China,Asia,56,315,271.0812322,1829.3168,27.81818182,50888.26736,38,35,35,3,0,15,5,male
529 ms,529,18600 KB,18600,India,Asia,41,225,192.6252211,1205.449201,38.85714286,46840.31181,52,40,40,12,0,10,2,male
561 ms,561,25500 KB,25500,India,Asia,49,252,231.5770955,1414.906881,23.8,33674.78376,59,53,52,6,1,10,3,male
546 ms,546,18600 KB,18600,India,Asia,43,238,203.5249056,1291.451012,26.25,33900.58906,68,58,50,10,8,12,2,male
530 ms,530,16500 KB,16500,China,Asia,53,315,254.5835556,1804.294943,36.94444444,66658.67429,59,55,55,4,0,16,3,male
608 ms,608,24400 KB,24400,India,Asia,66,304,333.1049912,1837.495812,41.77419355,76759.90571,56,53,53,3,0,14,3,male
592 ms,592,32300 KB,32300,India,Asia,49,240,232.8278745,1347.530363,32.5,43794.73678,42,33,27,9,6,9,2,male
545 ms,545,18600 KB,18600,India,Asia,58,295,284.2247957,1728.104394,36.81818182,63625.66176,59,54,53,5,1,13,3,male
77 ms,77,17600 KB,17600,China,Asia,68,378,347.4830616,2301.060954,22.14285714,50952.06398,43,35,35,8,0,19,1,male
93 ms,93,14700 KB,14700,Vietnam,Asia,67,323,340.7366244,1959.346809,40.39285714,79143.61573,53,42,35,11,7,18,1,male
109 ms,109,10800 KB,10800,South Korea,Asia,79,406,419.2271063,2559.334984,45.80952381,117241.9169,39,33,31,6,2,21,1,male
