time(ms),time,memory(KB),memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
31 ms,31,100 KB,100,China,Asia,46,241,210.3683172,1331.178431,32.41176471,43145.8421,52,35,34,17,1,8,3,male
31 ms,31,200 KB,200,Belarus,Europe,53,243,251.2486429,1391.88467,29.34782609,40848.78924,49,36,30,13,6,5,2,male
31 ms,31,200 KB,200,India,Asia,42,269,193.2192809,1450.533387,19.2,27850.24103,51,39,37,12,2,8,1,male
31 ms,31,100 KB,100,Belarus,Europe,43,270,194.1844178,1465.091484,43.5,63731.47954,48,38,30,10,8,8,1,male
31 ms,31,100 KB,100,Vietnam,Asia,56,341,273.4603973,1980.308028,56.47368421,111835.2902,47,34,31,13,3,10,1,male
31 ms,31,100 KB,100,Vietnam,Asia,54,285,259.4122985,1640.142938,44.2,72494.31786,62,43,28,19,15,12,2,male
31 ms,31,300 KB,300,Unknown,Unknown,41,294,182.7116542,1575.120289,33.38461538,52584.78504,45,41,41,4,0,13,1,male
31 ms,31,400 KB,400,China,Asia,41,294,182.7116542,1575.120289,33.38461538,52584.78504,45,41,41,4,0,13,1,male
31 ms,31,2000 KB,2000,India,Asia,56,308,271.7635715,1788.665316,30.83333333,55150.51391,46,27,23,19,4,6,1,male
46 ms,46,200 KB,200,Bangladesh,Asia,46,234,219.336581,1292.513498,23.4,30244.81585,42,37,36,5,1,9,1,male
46 ms,46,2000 KB,2000,India,Asia,44,288,203.01955,1572.316306,24,37735.59135,57,32,26,25,6,4,1,male
31 ms,31,100 KB,100,China,Asia,63,327,314.9612072,1954.570535,49.80769231,97352.6478,54,40,38,14,2,10,3,female
31 ms,31,200 KB,200,India,Asia,41,249,192.6252211,1334.030449,17,22678.51764,75,60,54,15,6,11,4,male
30 ms,30,100 KB,100,Brazil,South America,60,275,295.1851693,1624.394914,28.76923077,46732.59214,55,41,32,14,9,11,3,male
31 ms,31,200 KB,200,India,Asia,42,297,193.2192809,1601.518275,28.8,46123.72631,50,43,40,7,3,10,1,male
31 ms,31,300 KB,300,Russia,AsiaEurope,48,273,221.5920716,1524.694763,28.23684211,43052.56527,64,34,21,30,13,9,2,male
31 ms,31,100 KB,100,South Korea,Asia,46,239,214.5707223,1320.131307,22.84615385,30159.92295,55,40,32,15,8,9,2,male
31 ms,31,200 KB,200,Russia,AsiaEurope,42,295,187.9089067,1590.73364,24,38177.60735,47,42,40,5,2,11,1,male
30 ms,30,200 KB,200,Kazakhstan,AsiaEurope,47,278,219.7679748,1544.175701,24.75,38218.34859,48,37,33,11,4,9,1,male
46 ms,46,200 KB,200,Kyrgyzstan,Asia,45,317,206.8830545,1740.917432,36.53571429,63605.66187,56,47,42,9,5,20,1,male
31 ms,31,400 KB,400,India,Asia,61,308,303.4631705,1826.6671,28.91304348,52814.50528,61,45,40,16,5,9,2,male
31 ms,31,100 KB,100,China,Asia,57,322,281.1893366,1878.190585,35.75,67145.3134,52,44,42,8,2,16,1,male
31 ms,31,200 KB,200,Indonesia,Asia,64,327,320,1962,34.5,67689,50,46,44,4,2,10,1,female
31 ms,31,2000 KB,2000,China,Asia,57,321,275.5886804,1872.357695,37.22222222,69693.31419,45,32,30,13,2,14,1,male
31 ms,31,100 KB,100,Vietnam,Asia,56,265,271.7635715,1538.949054,30.83333333,47450.92918,48,40,39,8,1,13,2,male
31 ms,31,100 KB,100,Bulgaria,Europe,48,397,234.6600115,2217.230113,26,57647.98293,67,64,64,3,0,17,2,male
31 ms,31,1000 KB,1000,Estonia,Europe,41,203,197.7269405,1087.583057,18,19576.49502,56,39,29,17,10,9,2,male
46 ms,46,100 KB,100,Bangladesh,Asia,40,281,178.9351967,1495.461795,26.36363636,39425.81095,52,40,35,12,5,9,1,male
31 ms,31,100 KB,100,China,Asia,48,302,227.6306219,1686.658675,22.88461538,38598.53507,50,29,29,21,0,8,1,female
30 ms,30,100 KB,100,India,Asia,52,329,249.0117739,1875.444667,35,65640.56335,65,62,61,3,1,20,1,male
31 ms,31,100 KB,100,Unknown,Unknown,62,354,307.3464548,2107.785494,44.94827586,94741.32384,59,49,44,10,5,14,3,female
31 ms,31,200 KB,200,Russia,AsiaEurope,51,306,241.523656,1735.762155,38.5,66826.84295,70,45,38,25,7,11,3,male
31 ms,31,0 KB,0,China,Asia,59,402,288.1860234,2364.822506,30.44642857,72000.39951,40,21,21,19,0,3,1,female
31 ms,31,200 KB,200,Kazakhstan,AsiaEurope,54,319,261.1759501,1835.809113,33,60581.70074,55,43,40,12,3,13,1,male
31 ms,31,100 KB,100,Venezuela,South America,74,424,386.4773318,2632.808227,24,63187.39745,46,20,15,26,5,5,1,male
31 ms,31,400 KB,400,China,Asia,47,298,218.6033589,1655.267478,32,52968.55929,59,49,45,10,4,13,1,male
